alumni_match,faculty_match,faculty_role
Hyun Ah Song,Christos Faloutsos,Chair
Hyun Ah Song,Roni Rosenfeld,Non-chair
Hyun Ah Song,Roni Rosenfeld,Non-chair
Eric Wong,Barnabás Póczos,Chair
Eric Wong,Roni Rosenfeld,Non-chair
Liam Li,Ameet Talwalkar,Chair
Liam Li,Maria-Florina Balcan,Non-chair
Liam Li,Jeff Schneider,Non-chair
Liam Li,Roni Rosenfeld,Non-chair
Calvin Murdock,Simon Lucey,Chair
Calvin Murdock,Katerina Fragkiadaki,Non-chair
Calvin Murdock,Roni Rosenfeld,Non-chair
