id,entity_type,faculty_type,title,research_interests,label,parent,joint_degree,joint_pagerank,joint_community,joint_community_color
Jay Kadane,faculty,related,"Leonard J. Savage Professor Emeritus, Statistics, Dietrich College of Humanities and Social Sciences",,Jay Kadane,related,0,0.0,0,"rgb(1,1,1)"
Ramayya Krishnan,faculty,related,"Professor & Dean, Engineering & Public Policy, Heinz College of Information Systems and Public Policy",,Ramayya Krishnan,related,0,0.0,0,"rgb(1,1,1)"
Mark Schervish,faculty,related,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",,Mark Schervish,related,0,0.0,0,"rgb(1,1,1)"
Dave Touretzky,faculty,related,"Research Professor, Computer Science & Center for the Neural Basis of Cognition, School of Computer Science",,Dave Touretzky,related,0,0.0,0,"rgb(1,1,1)"
Isabella Verdinelli,faculty,related,"Professor in Residence, Statistics, Dietrich College of Humanities and Social Sciences",,Isabella Verdinelli,related,0,0.0,0,"rgb(1,1,1)"
Joel Welling,faculty,related,"Senior Scientific Specialist, Pittsburgh Supercomputing Center",,Joel Welling,related,0,0.0,0,"rgb(1,1,1)"
Alex Waibel,faculty,related,"Professor, Language Technologies Institute, School of Computer Science",,Alex Waibel,related,0,0.0,0,"rgb(1,1,1)"
Stephen Smith,faculty,unknown,,,Stephen Smith,unknown,0,0.0,0,"rgb(1,1,1)"
Rahul Telang,faculty,unknown,,,Rahul Telang,unknown,0,0.0,0,"rgb(1,1,1)"
Ariel Procaccia,faculty,unknown,,,Ariel Procaccia,unknown,0,0.0,0,"rgb(1,1,1)"
